alias,Soup,vq,jjettas,SunnyStockholm,Yami,pringles,Oseram,Rizzlord,Koronesuki,Daybeha,Pasta,PogChamp,Ropianos,Horse123,Rebin,monoid,Ishi,xXVisWizXx,Aloy,Turb0clutcharen,kanelbullar13,Skvarre,Pål,Modi,Bluebell,Noggin_bops,Lumos,Santa86,mercury,DonkeyKong1,ardillito28,rabbit99,unpwu,PetrifiedDropbear69,ChaCharizard,HalfCrimp,coldfooter,Ramennoodle,Rufstufsan,C3I2,Bempis2
infvis,4,7,6,2,6,3,6,6,2,6,6,6,4,3,5,7,2,4,3,3,2,3,4,2,1,6,7,3,2,2,4,3,3,6,4,3,8,3,2,8,3
statistics,4,9,7,3,4,3,3,7,2,6,7,6,4,4,6,8,3,5,3,3,7,4,7,3,4,2,4,5,8,3,5,4,8,7,3,7,6,3,5,9,3
maths,5,7,5,5,7,3,5,7,5,5,8,7,5,5,6,7,5,5,4,6,8,6,8,6,4,5,8,8,5,2,4,3,7,7,10,5,7,6,8,8,3
arts,7,10,3,3,9,1,2,1,4,4,6,5,3,2,8,7,2,1,9,6,3,1,4,6,4,7,4,9,3,4,6,7,3,4,9,4,6,4,3,3,8
computer_usage,7,10,10,6,8,4,10,10,8,7,9,9,9,5,7,8,6,8,8,8,5,8,7,6,4,10,10,4,5,5,8,8,7,8,9,7,8,7,10,9,8
programming,4,7,9,5,7,3,10,3,5,7,9,8,9,7,7,9,5,5,5,7,5,6,4,5,2,9,8,4,3,2,8,4,5,7,4,6,7,2,7,8,7
CG_programming,5,3,5,1,7,1,7,1,1,6,6,1,9,8,8,7,2,1,3,3,5,4,2,3,5,10,5,4,4,4,2,1,8,6,2,7,4,2,6,5,7
HCI,5,5,4,2,6,1,6,1,3,6,6,1,7,4,5,6,3,7,3,4,5,2,6,5,5,6,6,5,3,2,1,5,2,7,3,3,6,2,7,7,6
UX,6,4,7,2,6,1,5,3,2,1,7,1,4,2,6,6,3,5,8,2,1,3,7,6,5,4,6,7,1,3,4,10,1,4,5,4,4,3,5,7,8
communication,8,6,10,8,9,4,8,10,5,6,9,8,6,5,6,7,8,5,10,9,7,2,7,8,9,5,5,6,6,5,8,10,6,9,10,7,7,7,7,8,8
collaboration,7,2,8,5,2,4,9,10,4,5,10,7,6,5,8,7,6,6,8,8,6,3,8,8,8,6,8,6,9,5,7,8,6,5,8,7,7,8,8,7,7
code_repository,5,5,10,3,6,5,10,1,5,5,9,7,10,7,8,9,4,4,8,8,3,7,8,5,3,10,9,6,4,3,8,1,7,8,5,7,7,2,10,9,7
